,,,,,
CAMK2G,ENSG00000148660.20,21.045,48.139,-1.156,1.06e-6
CAMKK1,ENSG00000004660.14,2.855,7.567,-1.152,3.66e-17
CAND2,ENSG00000144712.11,0.555,2.950,-1.345,7.13e-11
CAP2,ENSG00000112186.11,2.610,12.774,-1.932,4.25e-16
CAPG,ENSG00000042493.15,384.928,173.940,1.141,4.62e-10
CAPN12,ENSG00000182472.8,6.325,2.003,1.286,5.21e-4
CARF,ENSG00000138380.17,1.110,3.250,-1.010,2.24e-18
CASC5,ENSG00000137812.19,3.375,0.320,1.729,7.78e-18
CASC9,ENSG00000249395.2,5.375,1.579,1.306,2.08e-4
CASP14,ENSG00000105141.5,1.235,0.025,1.124,2.32e-4
CASP2,ENSG00000106144.19,15.125,6.585,1.088,5.72e-12
CASQ2,ENSG00000118729.11,0.155,26.838,-4.591,2.41e-32
CASZ1,ENSG00000130940.14,6.955,15.114,-1.018,5.74e-8
CAV1,ENSG00000105974.11,30.768,136.745,-2.116,7.60e-8
CBFA2T3,ENSG00000129993.14,0.805,2.800,-1.074,4.59e-9
CBLC,ENSG00000142273.10,39.930,15.943,1.273,7.35e-8
CBX2,ENSG00000173894.10,4.305,0.930,1.459,1.25e-8
CBX6,ENSG00000183741.11,8.300,26.050,-1.540,1.15e-10
CBX7,ENSG00000100307.12,6.470,51.101,-2.802,3.01e-39
CBX8,ENSG00000141570.10,5.125,1.920,1.069,5.64e-16
CC2D2A,ENSG00000048342.15,5.505,13.020,-1.108,1.85e-14
CCDC102A,ENSG00000135736.5,4.040,10.758,-1.222,1.46e-10
CCDC136,ENSG00000128596.16,1.215,7.591,-1.955,9.43e-24
